date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:48	59343/59343	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:47%20GMT	http://www.timoradventures.com.au/taste-of-timor-booking-confirmation/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/taste-of-timor-booking-confirmation/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:50	53655/53655	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:49%20GMT	http://www.timoradventures.com.au/discoveryinn/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/discoveryinn/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:51	2512/2512	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Jan%202023%2010:44:49%20GMT	http://www.timoradventures.com.au/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.timoradventures.com.au%2Fcommando-track-reports%2F	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/oembed/1.0/embed7f12.json	(from http://www.timoradventures.com.au/commando-track-reports/)
18:44:51	52170/52170	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:50%20GMT	http://www.timoradventures.com.au/hotelesplanada/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/hotelesplanada/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:53	52105/52105	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:52%20GMT	http://www.timoradventures.com.au/timorplazahotel/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/timorplazahotel/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:53	2582/2582	---M-Z	200	added ('OK')	text/xml	date:Sat,%2014%20Jan%202023%2010:44:52%20GMT	http://www.timoradventures.com.au/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.timoradventures.com.au%2Fcommando-track-reports%2F&format=xml	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/oembed/1.0/embedee93	(from http://www.timoradventures.com.au/commando-track-reports/)
18:44:56	41366/41366	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:53%20GMT	http://www.timoradventures.com.au/terms-and-conditions/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/terms-and-conditions/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:56	23928/23928	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:54%20GMT	http://www.timoradventures.com.au/thanks-for-your-feedback/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/thanks-for-your-feedback/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:59	25465/25465	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:57%20GMT	http://www.timoradventures.com.au/thanks-for-your-interest/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/thanks-for-your-interest/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:44:59	24280/24280	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:57%20GMT	http://www.timoradventures.com.au/thanks-for-your-tour-payment/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/thanks-for-your-tour-payment/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:45:01	24101/24101	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:44:59%20GMT	http://www.timoradventures.com.au/agent/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/agent/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:45:02	3910/3910	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Jan%202023%2010:45:00%20GMT	http://www.timoradventures.com.au/wp-json/wp/v2/pages/1751	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/wp/v2/pages/1751.json	(from http://www.timoradventures.com.au/batuguade-races/)
18:45:02	25106/25106	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:45:01%20GMT	http://www.timoradventures.com.au/tour-bookings-and-payments/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/tour-bookings-and-payments/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:45:04	24243/24243	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:45:03%20GMT	http://www.timoradventures.com.au/tour-buddies/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/tour-buddies/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:45:05	2444/2444	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Jan%202023%2010:45:03%20GMT	http://www.timoradventures.com.au/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.timoradventures.com.au%2Fbatuguade-races%2F	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/oembed/1.0/embed00c2.json	(from http://www.timoradventures.com.au/batuguade-races/)
18:45:05	24890/24890	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:45:04%20GMT	http://www.timoradventures.com.au/tour-dates/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/tour-dates/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:45:07	25829/25829	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:45:06%20GMT	http://www.timoradventures.com.au/tourdetimor/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/tourdetimor/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:45:07	2514/2514	---M-Z	200	added ('OK')	text/xml	date:Sat,%2014%20Jan%202023%2010:45:06%20GMT	http://www.timoradventures.com.au/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.timoradventures.com.au%2Fbatuguade-races%2F&format=xml	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/oembed/1.0/embed1ea1	(from http://www.timoradventures.com.au/batuguade-races/)
18:45:08	28117/28117	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:45:07%20GMT	http://www.timoradventures.com.au/tourism-awards/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/tourism-awards/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:45:09	27423/27423	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:45:08%20GMT	http://www.timoradventures.com.au/tourism-research/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/tourism-research/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:45:11	27551/27551	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:45:10%20GMT	http://www.timoradventures.com.au/tours/timor-1942/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/tours/timor-1942/index.html	(from http://www.timoradventures.com.au/sitemap/)
18:45:21	79542/79542	---M--	200	added ('OK')	image/png	etag:%22136b6-4f9793c11a8dd%22	http://www.timoradventures.com.au/wp-content/uploads/2014/05/Races-tour-long-page-icon1.png	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/uploads/2014/05/Races-tour-long-page-icon1.png	(from http://www.timoradventures.com.au/batuguade-races/)
18:45:23	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jan%202023%2010:45:22%20GMT	http://www.timoradventures.com.au/?p=15240	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/index48e2.html	(from http://www.timoradventures.com.au/commando-track-reports/)
18:45:24	83911/83911	---M--	200	added ('OK')	image/png	etag:%22147c7-4f97c8c39c934%22	http://www.timoradventures.com.au/wp-content/uploads/2014/05/Green-tour-map-racesL.png	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/uploads/2014/05/Green-tour-map-racesL.png	(from http://www.timoradventures.com.au/batuguade-races/)
18:45:27	765/765	---MC-	200	added ('OK')	application/rss+xml	etag:%2204b949b46f2bf17f133ba82e5ed713c9%22	http://www.timoradventures.com.au/batuguade-races/feed/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/batuguade-races/feed/index.html	(from http://www.timoradventures.com.au/batuguade-races/)
18:45:29	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jan%202023%2010:45:28%20GMT	http://www.timoradventures.com.au/?p=1751	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/indexf549.html	(from http://www.timoradventures.com.au/batuguade-races/)
18:45:33	12264/12264	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Jan%202023%2010:45:29%20GMT	http://www.timoradventures.com.au/wp-json/wp/v2/pages/15156	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/wp/v2/pages/15156.json	(from http://www.timoradventures.com.au/1942commandotrack/)
18:45:36	2460/2460	---MC-	200	added ('OK')	application/json	date:Sat,%2014%20Jan%202023%2010:45:33%20GMT	http://www.timoradventures.com.au/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.timoradventures.com.au%2F1942commandotrack%2F	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/oembed/1.0/embed108d.json	(from http://www.timoradventures.com.au/1942commandotrack/)
18:45:37	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20Jan%202023%2010:45:37%20GMT	http://www.timoradventures.com.au/?p=15156	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/index7af4.html	(from http://www.timoradventures.com.au/1942commandotrack/)
18:45:38	2530/2530	---M-Z	200	added ('OK')	text/xml	date:Sat,%2014%20Jan%202023%2010:45:38%20GMT	http://www.timoradventures.com.au/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.timoradventures.com.au%2F1942commandotrack%2F&format=xml	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-json/oembed/1.0/embed8964	(from http://www.timoradventures.com.au/1942commandotrack/)
18:46:18	241399/241399	---M--	200	added ('OK')	image/jpeg	etag:%223aef7-58b409327fe39%22	http://www.timoradventures.com.au/wp-content/uploads/2011/11/1942-commando-track-in-Timor-2.jpg	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/uploads/2011/11/1942-commando-track-in-Timor-2.jpg	(from http://www.timoradventures.com.au/1942commandotrack/)
18:46:22	21883/21883	---M--	200	added ('OK')	image/jpeg	etag:%22557b-58b40932c3860%22	http://www.timoradventures.com.au/wp-content/uploads/2011/11/1942-commando-track-in-Timor-2-300x278.jpg	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/uploads/2011/11/1942-commando-track-in-Timor-2-300x278.jpg	(from http://www.timoradventures.com.au/1942commandotrack/)
18:46:54	582515/582515	---M--	200	added ('OK')	application/pdf	etag:%228e373-4f97949d05313%22	http://www.timoradventures.com.au/wp-content/uploads/2014/05/horse-races-x-darwin-flyer.pdf	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/uploads/2014/05/horse-races-x-darwin-flyer.pdf	(from http://www.timoradventures.com.au/batuguade-races/)
18:47:25	464456/464456	---M--	200	added ('OK')	application/pdf	etag:%2271648-58b46436edaa5%22	http://www.timoradventures.com.au/wp-content/uploads/2019/06/1942-commando-track-itinerary-and-information.pdf	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/uploads/2019/06/1942-commando-track-itinerary-and-information.pdf	(from http://www.timoradventures.com.au/1942commandotrack/)
18:47:43	414868/414868	---M--	200	added ('OK')	application/pdf	etag:%2265494-58d6115af4ab1%22	http://www.timoradventures.com.au/wp-content/uploads/2019/07/Timor-Adventures-1942-commando-trek-tour-information-document.pdf	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/uploads/2019/07/Timor-Adventures-1942-commando-trek-tour-information-document.pdf	(from http://www.timoradventures.com.au/1942commandotrack/)
